순번,설치위치 주소,위도(X),경도(Y),추가 센서 #1,추가 센서 #2,추가 센서 #3,추가 센서 #4,추가 센서 #5
1,경기도 과천시 대공원광장로 102,37.42877164,127.0160739,1,0,0,0,1
2,경기도 과천시 대공원광장로 102,37.42201307,127.0242658,1,0,0,0,1
3,서울특별시 광진구 화양동 34-75,37.54400194,127.0697313,1,0,0,0,1
4,서울특별시 종로구 삼청동 35-63,37.58346942,126.9826224,1,0,0,0,1
5,서울특별시 중구 명동1가 53-1,37.56357368,126.9845038,1,0,0,0,1
6,서울특별시 강남구 신사동 532-12,37.52338411,127.0224148,1,0,0,0,0
7,서울특별시 강남구 신사동 657-37,37.52588867,127.0391258,1,0,0,0,0
8,서울특별시 강동구 성내동 448-8,37.52411075,127.1286688,1,0,0,0,0
9,서울특별시 성동구 성수동1가 685-285,37.54688198,127.0416428,1,0,0,0,0
10,서울특별시  용산구 이태원동 239-4,37.54026442,126.9937934,1,0,0,0,0
11,서울특별시 강남구 역삼동 814-6,37.50127401,127.0263768,1,0,0,0,0
12,서울특별시 강남구 신사동 581-6,37.52553243,127.0282295,1,0,0,0,0
13,서울특별시 강남구 대치동 889-45,37.50309199,127.0498755,1,0,0,0,0
14,서울특별시 강남구 대치동 890-57,37.50359652,127.0515922,1,0,0,0,0
15,서울특별시 강남구 신사동 541-17,37.51839242,127.0234226,1,0,0,0,0
16,서울특별시 강서구 마곡동 727-709,37.56003441,126.8258759,1,0,0,0,0
17,서울특별시 강서구 마곡동 367-11,37.56668094,126.8261217,1,0,0,0,0
18,서울특별시 강서구 마곡동 727-1214,37.55904218,126.8360833,1,0,0,0,0
19,서울특별시 관악구 봉천동 1603-4,37.47915422,126.9537097,1,0,0,0,0
20,서울특별시 광진구 구의동 246-8,37.53768025,127.0852125,1,0,0,0,0
21,서울특별시 도봉구 창동 57-11,37.64583144,127.05039,1,0,0,0,0
22,서울특별시 서대문구 홍제동 286-271,37.59822113,126.9490369,1,0,0,0,0
23,서울특별시 성동구 성수동1가 685-700,37.54529625,127.0435571,1,0,0,0,0
24,서울특별시 송파구 신천동 32,37.51214275,127.1043154,1,0,0,0,0
