,Ni
16330,"[15663, 15664, 15665, 15883, 15885, 15887, 16103, 16104, 16105, 16106, 16107, 16108, 16109, 16327, 16328, 16329, 16330, 16331, 16332, 16333, 16555, 16556, 16557, 16558, 16559, 16560, 16561, 16785, 16786, 16787, 16788, 16789, 17016, 17017, 17018]"
21855,"[21130, 21132, 21371, 21372, 21373, 21374, 21375, 21612, 21613, 21614, 21615, 21616, 21617, 21852, 21853, 21854, 21855, 21856, 21857, 21858, 22093, 22094, 22095, 22096, 22097, 22098, 22099, 22335, 22336, 22337, 22338, 22576, 22577, 22578]"
16246,"[15582, 15583, 15804, 16022, 16024, 16025, 16026, 16028, 16244, 16246, 16248, 16249, 16467, 16468, 16471, 16472, 16696, 16697, 16699, 16700, 16928]"
21614,"[20887, 20889, 21129, 21130, 21132, 21133, 21370, 21371, 21372, 21373, 21374, 21375, 21376, 21612, 21613, 21614, 21615, 21616, 21617, 21852, 21853, 21854, 21855, 21856, 21857, 21858, 22094, 22095, 22096, 22097, 22098, 22336, 22337, 22338]"
45307,"[44727, 45016, 45306, 45595, 45889, 45891, 45892, 46183, 46184, 46185]"
16470,"[15804, 16024, 16025, 16026, 16244, 16246, 16248, 16249, 16467, 16468, 16471, 16472, 16695, 16696, 16697, 16699, 16700, 16701, 16928, 16929, 17156, 17158]"
16471,"[15804, 16024, 16025, 16026, 16028, 16244, 16246, 16248, 16249, 16250, 16468, 16471, 16472, 16474, 16696, 16697, 16699, 16700, 16701, 16702, 16928, 16929, 16930, 17158, 17159]"
5186,"[4864, 4866, 4971, 4972, 4974, 4975, 5077, 5078, 5080, 5082, 5083, 5183, 5185, 5186, 5187, 5189, 5289, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5500, 5501, 5502]"
16699,"[16025, 16026, 16246, 16248, 16249, 16468, 16471, 16472, 16474, 16696, 16697, 16699, 16700, 16701, 16702, 16928, 16929, 16930, 16931, 17156, 17158, 17159, 17160, 17390]"
5295,"[4975, 4976, 4977, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5502, 5503, 5504, 5505, 5607]"
