,Ni
45001,"[44425, 44715, 44999, 45004, 45580, 45582]"
61574,"[61511, 61576, 61603, 61604]"
61544,"[61511, 61512, 61576, 61603]"
44442,"[44444, 44733, 45022]"
5186,"[4864, 4866, 4971, 4972, 4974, 4975, 5077, 5078, 5080, 5082, 5083, 5183, 5185, 5186, 5187, 5189, 5289, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5500, 5501, 5502]"
5080,"[4747, 4748, 4749, 4863, 4864, 4866, 4971, 4972, 4974, 4975, 4976, 5077, 5078, 5080, 5082, 5083, 5183, 5185, 5186, 5187, 5189, 5290, 5291, 5292, 5294, 5396]"
1868,"[1649, 1718]"
43863,"[43286, 43572, 43573]"
61246,[61362]
5188,"[4866, 4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5185, 5186, 5187, 5189, 5190, 5191, 5291, 5292, 5294, 5295, 5297, 5399, 5400, 5502, 5503, 5504]"
44152,"[43573, 44444]"
1869,[1718]
44441,"[44444, 44727, 44733]"
1949,[]
5294,"[4974, 4975, 4976, 5080, 5082, 5083, 5084, 5185, 5186, 5187, 5189, 5190, 5191, 5291, 5292, 5294, 5295, 5297, 5396, 5399, 5400, 5501, 5502, 5503, 5504, 5505]"
1945,"[1718, 1864]"
1946,[1718]
5295,"[4975, 4976, 4977, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5502, 5503, 5504, 5505, 5607]"
44730,"[44444, 44727, 44733, 45016, 45022, 45306]"
44729,"[44727, 45016, 45306]"
61209,[]
43573,"[42696, 42698, 42992, 43284, 43285, 43286, 43571, 43572, 43573, 44148]"
5187,"[4866, 4972, 4974, 4975, 4976, 5078, 5080, 5082, 5083, 5084, 5185, 5186, 5187, 5189, 5190, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5501, 5502, 5503]"
61644,[]
44148,"[43284, 43285, 43571, 43572, 43573, 44148, 44725, 44727, 45016]"
44440,"[43573, 44148, 44727, 45016, 45306]"
44437,"[43571, 43572, 44148, 44725, 44727, 45013, 45016, 45303]"
44725,"[44148, 44722, 44725, 44727, 45011, 45013, 45016, 45303, 45592]"
5189,"[4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5297, 5298, 5399, 5400, 5503, 5504, 5505]"
44436,"[43571, 44148, 44722, 44725, 44727, 45013, 45016, 45303]"
43859,"[42992, 43284, 43285, 43286, 43568, 43571, 43572, 43573, 44148, 44725, 44727]"
44728,"[44148, 44725, 44727, 45016, 45306, 45595]"
5081,"[4748, 4749, 4864, 4866, 4971, 4972, 4974, 4975, 4976, 4977, 5078, 5080, 5082, 5083, 5084, 5185, 5186, 5187, 5189, 5190, 5291, 5292, 5294, 5295, 5399]"
5082,"[4749, 4866, 4972, 4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5185, 5186, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5399, 5400]"
44149,"[43284, 43285, 43286, 43571, 43572, 43573, 44148, 44725, 44727, 45016]"
1867,"[1649, 1716, 1718, 1788, 1864]"
44438,"[43571, 43572, 43573, 44148, 44725, 44727, 45016, 45306]"
44439,"[43572, 43573, 44148, 44725, 44727, 45016, 45306]"
44726,"[44148, 44725, 44727, 45013, 45016, 45303, 45306, 45595]"
5399,"[5082, 5083, 5186, 5187, 5189, 5190, 5291, 5292, 5294, 5295, 5297, 5396, 5399, 5400, 5500, 5501, 5502, 5503, 5504, 5505, 5603, 5607, 5704, 5706]"
44150,"[43285, 43286, 43571, 43572, 43573, 44148, 44727, 45016]"
43860,"[42992, 43284, 43285, 43286, 43571, 43572, 43573, 44148, 44727]"
44727,"[44148, 44725, 44727, 45013, 45016, 45303, 45306, 45595]"
44151,"[43286, 43572, 43573, 44148, 44727]"
43861,"[42992, 43284, 43285, 43286, 43571, 43572, 43573, 44148, 44727]"
5296,"[4976, 4977, 5082, 5083, 5084, 5085, 5187, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5503, 5504, 5505, 5607, 5608]"
45017,"[44725, 44727, 45016, 45303, 45306, 45595, 45889]"
45305,"[44725, 44727, 45013, 45016, 45303, 45306, 45592, 45595, 45886, 45889, 46181, 46183]"
45019,"[44727, 44733, 45016, 45022, 45306, 45891, 45892]"
5190,"[4975, 4976, 4977, 5082, 5083, 5084, 5085, 5187, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5504, 5505]"
45016,"[44148, 44725, 44727, 45013, 45016, 45303, 45306, 45595, 45889]"
43862,"[43285, 43286, 43571, 43572, 43573, 44148]"
5400,"[5082, 5083, 5084, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5501, 5502, 5503, 5504, 5505, 5607, 5608, 5706, 5707]"
45018,"[44727, 45016, 45306, 45595, 45889, 45891]"
5084,"[4753, 4974, 4975, 4976, 4977, 5082, 5083, 5084, 5085, 5187, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5400]"
45015,"[44148, 44725, 44727, 45013, 45016, 45303, 45306, 45592, 45595, 45886]"
1950,[]
44731,"[44444, 44733, 45022]"
45306,"[44727, 45016, 45303, 45306, 45595, 45889, 45891, 46183, 46184]"
1947,[]
45307,"[44727, 45016, 45306, 45595, 45889, 45891, 45892, 46183, 46184, 46185]"
1792,"[1649, 1716, 1718]"
1791,"[1649, 1715, 1716, 1718, 1788, 1864]"
5292,"[4972, 4974, 5078, 5080, 5082, 5183, 5185, 5186, 5187, 5189, 5289, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5499, 5500, 5501, 5502, 5503, 5602, 5603]"
5293,"[4974, 4975, 5080, 5082, 5083, 5185, 5186, 5187, 5189, 5190, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5500, 5501, 5502, 5503, 5504, 5603]"
2028,[]
1872,[]
5401,"[5083, 5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5502, 5503, 5504, 5505, 5607, 5608, 5706, 5707, 5708]"
5083,"[4866, 4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5191, 5294, 5295, 5297, 5399, 5400]"
2026,[]
61208,[]
4975,"[4748, 4749, 4864, 4866, 4972, 4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5294, 5295]"
1793,"[1649, 1718]"
1870,[]
5504,"[5189, 5190, 5294, 5295, 5297, 5399, 5400, 5403, 5501, 5502, 5503, 5504, 5505, 5603, 5607, 5608, 5704, 5706, 5707, 5708, 5806]"
8520,"[8235, 8373, 8517, 8523, 8667, 8668, 8673]"
1948,[]
24560,"[24152, 24759]"
23952,[23525]
25361,[24759]
23307,[]
21894,[]
5402,"[5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5503, 5504, 5505, 5607, 5608, 5707, 5708, 5709]"
5503,"[5187, 5189, 5292, 5294, 5295, 5396, 5399, 5400, 5500, 5501, 5502, 5503, 5504, 5505, 5602, 5603, 5607, 5608, 5703, 5704, 5706, 5707, 5806]"
