prk_nm,prk_loc,lon,lat,geometry,geometry_area,,external_park_count
감로천생태공원관악산,금천구,126.9079509,37.469625,"POINT (126.9079509,37.469625)","POLYGON ((126.90720100805389 37.47068418143549,126.90681694486409 37.4704496165115,126.90676140721867 37.46965668355812,126.90722481975993 37.46971110893133,126.90858224545306 37.46897333826637,126.90894400401855 37.468955597369984,126.90894389473117 37.469045698342406,126.90913596939237 37.469126937144004,126.90910154373982 37.46955038560986,126.90863805405488 37.46955903826916,126.90777828069088 37.47008095644525,126.9078233767448 37.47018010277417,126.90720100805389 37.47068418143549))",,0
개웅산근린공원,구로구,126.8485734,37.4888943,"POINT (126.8485734,37.4888943)","POLYGON ((126.84939994957092 37.49369496211061,126.84940060085742 37.4933706006728,126.8481789074741 37.49358527850567,126.84759162616291 37.49322411981078,126.84827126669765 37.49264835055489,126.84836245782101 37.49228806505647,126.84854410970541 37.491927895469175,126.84786747481486 37.49102601949543,126.84854672942609 37.49063044927284,126.84836661066326 37.49023377525647,126.84732654536465 37.49012431496971,126.84592901312695 37.48788800346447,126.84534096989556 37.487923275432834,126.84529202520997 37.4897252253005,126.8447483017033 37.49019303558261,126.8436192104928 37.48939866046092,126.84325752682024 37.48932610061707,126.84275977853838 37.489433560026725,126.84199217089244 37.48881985122294,126.84244582271583 37.488171732035354,126.84326031302827 37.48799261398763,126.84258407958896 37.48694654662163,126.84136109983599 37.48780987768818,126.84063698732007 37.48802514487015,126.84045714657049 37.487520338186386,126.84091011589501 37.48719658642774,126.8404582195986 37.4870157756271,126.84018769705507 37.48661896683344,126.8404596758082 37.48633101208461,126.84145422231077 37.48654859263492,126.8417264240546 37.48615251438082,126.84131983550132 37.48593572723974,126.84132136001452 37.48521492334635,126.84055311788062 37.48492556666871,126.83973665285862 37.48604171119793,126.83951074788091 37.485933283668544,126.84037336172753 37.48438471941014,126.84164144650792 37.48355749879746,126.84064448962538 37.484493206318994,126.84154840718818 37.48478274445409,126.84200097576806 37.48463918932337,126.84263293607438 37.485216677568495,126.84367360221579 37.485001817285664,126.84340291941771 37.48467709610459,126.8446247050426 37.48435434641822,126.84471664934486 37.48363366113106,126.8457120619256 37.483418723324924,126.8469784546729 37.48338432995407,126.8472490015842 37.48378112347079,126.84747586375963 37.483421013433976,126.84797363845986 37.4832774937229,126.84937563228169 37.483279289370685,126.85091258694453 37.48364164190031,126.85027813079886 37.484289565207476,126.84747351927255 37.48457430030946,126.84715568642694 37.48518657473792,126.84742631403537 37.48554732753872,126.84900904054587 37.485657481730556,126.84932490603155 37.486018287967894,126.84878152513205 37.48634195640926,126.84887132663366 37.486666433965844,126.85027266455792 37.48702862111864,126.85018084131437 37.48771327022539,126.8494560316126 37.488288993454944,126.84950046490162 37.48868549317643,126.85076651478774 37.48886730056594,126.8508558979379 37.48940801762814,126.85008635151358 37.4897314061418,126.85031185175878 37.49005605453761,126.85067311537672 37.49034483389105,126.85067139345273 37.491209798180094,126.85085188505455 37.49142626777595,126.85089410656609 37.49294001202861,126.84971650058289 37.493731405465866,126.84939994957092 37.49369496211061))",,0
도곡근린공원,강남구,127.0450338,37.4903127,"POINT (127.0450338,37.4903127)","POLYGON ((127.04861175867894 37.49156447298064,127.05105483209728 37.49246444972479,127.05051166834046 37.491888038577805,127.05141549656818 37.490734359267016,127.04942484344966 37.48994232221011,127.04894964869227 37.48951003639667,127.04851979355573 37.489239911412994,127.04861003037774 37.488897491389245,127.04784083625789 37.4884292813217,127.04707168565848 37.48801512666195,127.04680039271835 37.48814137554081,127.04673338041991 37.489474893549726,127.04628125232698 37.48974537382051,127.04585138341051 37.489439198835456,127.04609989076154 37.48902463858916,127.04585094283901 37.488718392830314,127.04490128419951 37.488971039739226,127.04476576870665 37.48925941363435,127.04449449944815 37.48943971764535,127.04422304828837 37.48931367848993,127.04492365058914 37.48855656766189,127.0446744836647 37.48787189617188,127.04390571482054 37.488070406101876,127.04315916232885 37.48758413690248,127.0434750297694 37.48632260981925,127.04347486269124 37.48603428726594,127.04205004764671 37.48576450049745,127.04187150217138 37.48999930111217,127.0424595508322 37.490107212147244,127.04295763666063 37.49108012018816,127.04232471531172 37.49162095305883,127.04492580903708 37.49216059695118,127.0459207168527 37.49187189209999,127.04786556638126 37.49174497912302,127.04811439387224 37.49183497877742,127.04861175867894 37.49156447298064))",,0
봉산도시자연공원,은평구,126.9020153,37.604071,"POINT (126.9020153,37.604071)","POLYGON ((126.9034248333053 37.60045223628429,126.90177165202687 37.600342753109516,126.90023157226165 37.60034146129231,126.9000048487787 37.600521467501466,126.8990082268053 37.60059269814041,126.89878093811936 37.6011871570499,126.89835007750196 37.60158322245838,126.8987794977045 37.60225032425308,126.89864301811244 37.60268268236526,126.8989599570431 37.60279107293298,126.89945811319437 37.60288159736502,126.89938919546684 37.6036023306129,126.89977384538051 37.60389097466241,126.90115504780896 37.60419847609088,126.90085960118326 37.60495505969105,126.90092685700365 37.60547769018494,126.90017888423021 37.60587349533985,126.90108435561896 37.606270693128224,126.90090284460939 37.60650479812717,126.90124247699408 37.606595181770004,126.90144635192017 37.60657733240809,126.90176373801728 37.606361359544366,126.90244331034737 37.606307863883764,126.90271548634209 37.60601977190246,126.90242131940774 37.60580329154741,126.90233220414986 37.60466797082408,126.90380730176116 37.60243472724096,126.9034248333053 37.60045223628429))",,0
서울창포원,도봉구,127.047938,37.689585,"POINT (127.047938,37.689585)","POLYGON ((127.04905890879263 37.69069255172145,127.0465531417154 37.69053139168252,127.04657527079515 37.689657435295956,127.0468811447133 37.689269893963235,127.04757202694647 37.68815240560244,127.04809351552134 37.688098135450375,127.04917065736717 37.68822382807323,127.04905890879263 37.69069255172145))",,0
금천체육공원관악산,금천구,126.908681,37.468164,"POINT (126.908681,37.468164)","POLYGON ((126.90817531921492 37.468950497489516,126.90842388122884 37.46905881164758,126.90732660925866 37.4696706433349,126.90679535949587 37.469625174977324,126.90675034347788 37.469462957577484,126.90711259536566 37.46904877805278,126.90722635082474 37.46847222063925,126.90727169003087 37.46837314505577,126.90739600268212 37.46840027286058,126.90753189706196 37.46820215693253,126.90882122741644 37.46766255238449,126.90862952968003 37.467274969671216,126.90923944550723 37.4676899046656,126.90964560073552 37.46834795374693,126.90817531921492 37.468950497489516))",,0
금천폭포근린공원,금천구,126.9040127,37.4468663,"POINT (126.9040127,37.4468663)","POLYGON ((126.90376642518589 37.44707491776759,126.90408276620819 37.44714275095728,126.90415081351212 37.44695359324465,126.90435418485062 37.44698979855375,126.9046093545248 37.446282708819716,126.90402189418622 37.44613807098677,126.90376642518589 37.44707491776759))",,0
만수천공원관악산,금천구,126.9090028,37.4734274,"POINT (126.9090028,37.4734274)","POLYGON ((126.9081005663535 37.47460878303258,126.90701627940061 37.473797025969475,126.9060660732261 37.47426479949603,126.90608963032503 37.47350796998809,126.90655553388353 37.47158017793251,126.90682813193345 37.470544231416895,126.9078786882504 37.47116675219046,126.9078327175543 37.471779403265884,126.90775336323837 37.47195954336709,126.90854432050553 37.472266501626706,126.90862366228198 37.47209537109401,126.90947150709559 37.472105033796744,126.9098781749807 37.47235762747987,126.9102622359634 37.472610202587575,126.91131303068548 37.47307952113064,126.91142606896611 37.47308861601738,126.91195622578184 37.47408913320374,126.91288259097168 37.47464844588087,126.91204583201126 37.47480099764285,126.91202277812805 37.47517940454193,126.9114680789761 37.475809696945795,126.91058673769429 37.47541258909577,126.91046231553348 37.475466555453536,126.91045112853666 37.475367435920326,126.9101006554423 37.47537617988583,126.90994266322173 37.47514179707474,126.9090947076461 37.47519520832754,126.90762525227335 37.47501386675192,126.90803274667027 37.474599720169266,126.9081005663535 37.47460878303258))",,0
용두근린공원,동대문구,127.0390042,37.5732791,"POINT (127.0390042,37.5732791)","POLYGON ((127.0383638622664 37.573802613254315,127.03821663176696 37.57366751178905,127.03822761105137 37.57300077204027,127.03834073703801 37.57285657616712,127.04069527547854 37.57282875814696,127.04114810372994 37.57288266087562,127.04118210333307 37.572954728612956,127.03845445558021 37.573865653413804,127.0383638622664 37.573802613254315))",,0
와우근린공원,마포구,126.9289936,37.5517298,"POINT (126.9289936,37.5517298)","POLYGON ((126.9300948522291 37.55327246534257,126.92918986743972 37.55287548704118,126.92855660054084 37.55237054674918,126.92774246498828 37.5516672729111,126.9270191766213 37.550657710191565,126.9276762534604 37.54991929592256,126.92864883612492 37.550586626340916,126.92941843236707 37.55051500902167,126.93018743888057 37.551074085068436,126.93041348739646 37.551380557862366,126.93122804234856 37.55165133451974,126.93183865473299 37.552192287394455,126.93125012962658 37.55224600607005,126.9300948522291 37.55327246534257))",,0
달맞이근린공원,성동구,127.0212054,37.543564,"POINT (127.0212054,37.543564)","POLYGON ((127.02059488278047 37.545750004842056,127.02031186137972 37.545290544298574,127.02011946130841 37.54517344734191,127.01919150944768 37.54494835199784,127.0176187031754 37.54529998683601,127.01746028406039 37.54530902035858,127.01727920210523 37.54518290710788,127.01963270783767 37.5445067898251,127.02000601937577 37.5441102874608,127.01966629749523 37.54314627512772,127.01996040617625 37.54279483595936,127.02014133416598 37.54235331543398,127.02098996562788 37.54228108766765,127.02252918054484 37.54337101350536,127.02229170776404 37.54388462825165,127.02079817543175 37.544335400432836,127.02097927641083 37.5445155682599,127.02129620009579 37.544812841290835,127.02121708703798 37.545155235239584,127.02117188252794 37.54536247316643,127.02112673370718 37.54576793086633,127.02069674801996 37.54583107695146,127.02059488278047 37.545750004842056))",,0
신사근린공원,은평구,126.9102948,37.5920771,"POINT (126.9102948,37.5920771)","POLYGON ((126.90991233151495 37.5944342421193,126.90967471806462 37.59428990189538,126.90914249473249 37.594316523142766,126.90910798814826 37.594757982347154,126.90898337728449 37.59480293588829,126.90890401548145 37.594883963882275,126.90877967924196 37.59470366958755,126.90867774784515 37.59472161059199,126.90864400935068 37.594532376298574,126.90851959711622 37.5944151510583,126.90874619354668 37.594307207498694,126.90883670223988 37.59437034683766,126.90980012152684 37.59358722445187,126.90830655636877 37.592703101867215,126.90812559944642 37.59253177273681,126.90805795003078 37.592297462221076,126.90783183650404 37.59201797843699,126.90788898380252 37.59158554699238,126.90897643266328 37.59120797402989,126.9091461641537 37.59129820398624,126.91070926318233 37.590830881002375,126.9109812864641 37.590596828557814,126.91170580786546 37.590705491788306,126.91168303478749 37.590813593786855,126.91198800432977 37.59144451591838,126.91167054079982 37.591804675507355,126.91154522192859 37.59245329572293,126.91192937316447 37.59315635647498,126.91181595149129 37.593318450275426,126.91225713808231 37.59367016577613,126.91055724842361 37.59485819853665,126.91027455567372 37.594533627086676,126.90991233151495 37.5944342421193))",,0
문화역 서울284,중구,126.9715923,37.5558722,"POINT (126.9715923,37.5558722)","POLYGON ((126.97146854985051 37.55661889801923,126.97148005794043 37.5561188472007,126.97150271168341 37.55606929780702,126.97150277515789 37.55590261327855,126.9714631693999 37.555889088749666,126.97146318657892 37.5558440388762,126.97148589689508 37.55564582489728,126.97146328621638 37.55558274960336,126.97149159333317 37.555546716537506,126.97149166026354 37.55537102201883,126.97163312680048 37.555371056090834,126.97164442876081 37.55541160369871,126.97172365006455 37.55541162269743,126.97172928830686 37.555465683904664,126.97163308752468 37.555474670807726,126.97162174285273 37.5555467478902,126.9717066229743 37.5555467682603,126.9717235581456 37.55565489202844,126.97167827163261 37.555699931053404,126.9716839030453 37.55577201220987,126.97185932079736 37.555776559136156,126.97187056536657 37.55597027628927,126.9717064577596 37.555983752041286,126.9717007581652 37.55609187037853,126.9717460193887 37.55611440615591,126.97167807897175 37.556208994616824,126.97167797155697 37.55649280879682,126.97162703429983 37.556515321503774,126.97163265206208 37.55662344254702,126.97146854985051 37.55661889801923))",,0
