기간	자치구	총 수급자	총 수급자	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	일반수급자	일반수급자	조건부수급자	조건부수급자	조건부수급자	조건부수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자	시설수급자	시설수급자
기간	자치구	가구	시설	인원	인원	인원	가구	인원	인원	인원	가구	인원	인원	인원	가구	인원	인원	인원	시설	인원	인원	인원
기간	자치구	가구	시설	계	남성	여성	가구	계	남성	여성	가구	계	남성	여성	가구	계	남성	여성	시설	계	남성	여성
2018	합계	197,278	604	290,222	133,562	156,660	169,271	227,396	104,715	122,681	23,360	44,271	20,928	23,343	4,647	6,324	2,815	3,509	604	12,231	5,104	7,127
2018	본청	-	8	880	251	629	-	-	-	-	-	-	-	-	-	-	-	-	8	880	251	629
2018	종로구	3,109	14	4,450	2,442	2,008	2,821	3,403	1,941	1,462	216	318	190	128	72	80	57	23	14	649	254	395
2018	중구	3,360	4	4,266	2,356	1,910	3,087	3,744	2,047	1,697	209	333	200	133	64	76	49	27	4	113	60	53
2018	용산구	4,910	11	6,515	3,501	3,014	4,298	5,400	2,894	2,506	446	663	403	260	166	195	102	93	11	257	102	155
2018	성동구	5,583	10	7,839	3,758	4,081	4,565	5,924	2,785	3,139	885	1,633	833	800	133	168	82	86	10	114	58	56
2018	광진구	6,102	19	8,720	3,954	4,766	5,321	7,189	3,267	3,922	674	1,304	595	709	107	148	83	65	19	79	9	70
2018	동대문구	9,280	27	12,453	6,170	6,283	8,131	10,427	5,214	5,213	652	1,094	566	528	497	706	303	403	27	226	87	139
2018	중랑구	11,818	40	17,070	7,930	9,140	10,598	14,209	6,654	7,555	1,059	2,142	1,047	1,095	161	208	92	116	40	511	137	374
2018	성북구	8,824	29	12,909	5,852	7,057	7,461	10,002	4,533	5,469	1,161	2,215	1,072	1,143	202	251	121	130	29	441	126	315
2018	강북구	11,125	34	16,175	7,364	8,811	9,503	12,951	5,904	7,047	1,258	2,423	1,143	1,280	364	527	226	301	34	274	91	183
2018	도봉구	7,666	49	11,470	5,163	6,307	6,499	8,940	4,089	4,851	1,077	2,115	911	1,204	90	123	62	61	49	292	101	191
2018	노원구	17,022	40	26,012	11,263	14,749	14,793	20,988	9,123	11,865	2,041	4,033	1,787	2,246	188	264	112	152	40	727	241	486
2018	은평구	11,876	43	19,677	9,102	10,575	10,095	14,451	6,288	8,163	1,430	2,773	1,235	1,538	351	475	183	292	43	1,978	1,396	582
2018	서대문구	6,014	23	8,820	3,919	4,901	5,227	6,774	3,056	3,718	651	1,124	555	569	136	172	80	92	23	750	228	522
2018	마포구	5,550	15	8,206	3,637	4,569	4,572	6,197	2,680	3,517	887	1,574	752	822	91	120	44	76	15	315	161	154
2018	양천구	8,175	25	12,118	5,402	6,716	7,199	10,031	4,443	5,588	822	1,571	717	854	154	201	78	123	25	315	164	151
2018	강서구	15,432	32	22,252	10,190	12,062	13,399	17,944	8,299	9,645	1,535	3,166	1,396	1,770	498	717	317	400	32	425	178	247
2018	구로구	6,107	23	8,906	4,018	4,888	5,217	6,804	3,154	3,650	652	1,303	597	706	238	331	155	176	23	468	112	356
2018	금천구	6,737	28	9,820	4,428	5,392	5,466	7,326	3,315	4,011	1,223	2,050	974	1,076	48	65	30	35	28	379	109	270
2018	영등포구	6,394	22	8,511	4,554	3,957	5,370	6,453	3,370	3,083	825	1,254	794	460	199	277	133	144	22	527	257	270
2018	동작구	6,375	16	9,306	4,119	5,187	5,626	7,688	3,381	4,307	671	1,115	546	569	78	115	47	68	16	388	145	243
2018	관악구	10,371	32	14,455	6,538	7,917	8,761	11,318	5,108	6,210	1,316	2,304	1,097	1,207	294	403	172	231	32	430	161	269
2018	서초구	3,574	6	5,477	2,454	3,023	3,183	4,510	1,968	2,542	346	716	318	398	45	63	28	35	6	188	140	48
2018	강남구	7,208	11	11,507	4,886	6,621	5,772	7,726	3,382	4,344	1,357	3,039	1,345	1,694	79	113	44	69	11	629	115	514
2018	송파구	7,680	18	12,019	5,485	6,534	6,320	9,005	4,137	4,868	1,119	2,292	1,054	1,238	241	316	126	190	18	406	168	238
2018	강동구	6,986	25	10,389	4,826	5,563	5,987	7,992	3,683	4,309	848	1,717	801	916	151	210	89	121	25	470	253	217
2019	합계	221,695	594	318,127	146,570	171,557	187,082	247,097	113,307	133,790	28,125	50,722	24,495	26,227	6,488	8,729	3,880	4,849	594	11,579	4,888	6,691
2019	본청	-	8	858	247	611	-	-	-	-	-	-	-	-	-	-	-	-	8	858	247	611
2019	종로구	3,413	13	4,790	2,639	2,151	2,986	3,535	2,055	1,480	275	419	237	182	152	168	103	65	13	668	244	424
2019	중구	3,671	3	4,611	2,520	2,091	3,298	3,954	2,144	1,810	277	425	262	163	96	120	58	62	3	112	56	56
2019	용산구	5,282	12	6,957	3,698	3,259	4,527	5,641	2,973	2,668	509	761	462	299	246	304	158	146	12	251	105	146
2019	성동구	6,123	11	8,488	4,116	4,372	4,942	6,411	3,075	3,336	993	1,721	861	860	188	234	115	119	11	122	65	57
2019	광진구	6,942	16	9,684	4,437	5,247	6,091	8,086	3,681	4,405	708	1,315	641	674	143	208	106	102	16	75	9	66
2019	동대문구	10,058	26	13,226	6,625	6,601	8,662	10,856	5,466	5,390	798	1,329	715	614	598	832	367	465	26	209	77	132
2019	중랑구	13,840	43	19,885	9,210	10,675	12,336	16,662	7,735	8,927	1,363	2,500	1,252	1,248	141	170	77	93	43	553	146	407
2019	성북구	9,665	28	13,719	6,252	7,467	8,010	10,399	4,707	5,692	1,386	2,584	1,273	1,311	269	343	163	180	28	393	109	284
2019	강북구	12,471	34	17,723	8,101	9,622	10,492	14,012	6,339	7,673	1,439	2,666	1,340	1,326	540	768	324	444	34	277	98	179
2019	도봉구	8,367	53	12,192	5,520	6,672	7,017	9,478	4,361	5,117	1,268	2,318	1,016	1,302	82	106	53	53	53	290	90	200
